0.0945,1.0478,0.6427,1.6058,1.3245,0.3432,2.4221,1.4098,0.5975,0.6942,0.6065,0.2925,0.3775,0.4174,0.1690,0.3646
0.6702,0.9616,1.1755,0.5776,3.0213,0.2006,1.1626,0.5296,1.7602,2.1715,0.5377,0.6646,0.5675,0.7541,0.0702,0.2590
0.4186,0.2485,0.5971,0.4101,4.0729,2.7577,0.2267,2.8929,1.6964,4.1368,0.4472,0.1584,0.4472,1.0158,0.2555,1.5327
0.2649,0.1965,1.8417,1.7081,1.9756,0.9136,0.2000,1.5139,1.9533,1.0666,1.6649,0.1003,0.3877,1.2108,0.2021,0.5646
1.4045,0.1601,2.6834,1.2662,3.1549,0.2832,1.2499,2.6865,1.1530,0.9280,0.0368,0.9320,0.3306,0.5887,0.0465,0.5454
0.1151,0.2662,1.3319,3.1936,3.6096,5.7415,0.2494,3.4726,0.1081,3.0204,0.6638,0.8549,0.8806,0.8982,1.1855,1.7025
1.2002,1.3632,1.7657,0.4356,0.9201,1.1717,0.3611,1.4928,3.1654,0.8035,0.9427,3.4645,0.3076,0.4785,0.2077,0.4181
0.2093,1.0498,0.1972,1.0339,1.5265,0.4452,1.0736,0.7842,2.4842,3.8936,0.8487,0.5776,0.2596,0.4514,0.0769,0.4885
0.0936,0.8965,0.7633,0.9332,1.2654,0.9456,0.2307,0.9450,0.9483,3.1275,0.7305,1.4471,0.3238,0.6340,0.3371,0.4828
0.5395,3.8492,1.4713,0.6175,1.6400,1.3047,2.6739,2.4018,1.2213,2.1500,0.0504,0.0218,0.1823,0.4053,0.1102,1.1359
0.0899,0.0086,1.2386,4.4709,2.9977,0.7985,0.0207,2.3524,0.5504,1.1870,1.7607,0.6191,0.7196,0.5202,0.4715,1.3348
0.4353,0.8383,0.1679,3.0721,1.5709,0.8596,0.7244,1.9132,1.9932,0.8776,0.9017,0.6569,0.4711,0.4392,0.5306,0.7825
0.2738,0.5857,1.0356,0.1133,3.9934,0.4571,3.2977,0.7624,2.1116,1.4633,3.0485,0.1656,0.1205,0.3267,0.0344,0.3007
0.2099,0.0318,1.2799,0.0305,1.6289,2.3431,1.3044,2.0137,1.5698,0.6115,1.6782,0.1805,0.2100,0.5022,0.3084,0.3986
0.0255,0.9451,1.7768,0.1615,1.6440,3.9956,2.4487,1.5386,0.3955,1.2054,0.4173,0.7904,0.2911,1.7219,0.3379,0.6983
2.1079,0.4832,0.2883,1.4487,2.5621,2.3455,1.0921,1.0227,3.5654,0.8890,0.0421,0.2140,0.7403,2.0299,0.3319,0.3579
0.1000,0.6706,2.8162,0.1191,4.4179,1.7288,0.1753,1.4243,1.2230,2.8063,1.3082,0.6331,0.6925,0.6447,0.3560,1.3951
0.0712,0.0272,0.4659,0.5969,0.9671,0.2454,2.0199,0.5332,0.1521,1.1316,0.1201,0.1480,0.3461,0.4697,0.1392,0.2224
0.0704,0.8816,0.2114,0.0687,5.6687,7.1689,2.6328,3.5525,1.2587,0.6066,5.8843,0.0688,0.3990,0.7857,0.3216,1.6496
0.2609,0.5461,0.1134,1.3547,1.2720,0.9274,0.6676,1.2478,2.4081,0.7522,0.2613,0.5939,0.2662,0.6258,0.0484,0.3264
0.3804,1.0094,0.0148,0.8256,4.8846,2.3695,1.6057,3.1363,0.2712,2.6524,0.4936,0.2159,1.0528,0.8284,0.6943,2.2033
2.5296,0.0095,0.1358,1.7049,2.7664,0.3999,0.2145,0.9605,3.4381,2.4246,1.3873,0.5737,0.5341,0.5612,0.2125,0.4542
1.0253,0.0401,0.5833,1.1919,5.0692,2.1276,0.4815,1.6820,1.9236,2.9663,1.7318,0.0315,0.4574,1.4644,0.3133,0.8320
0.0434,0.3547,0.0188,0.8123,1.3385,1.1185,0.5399,1.3808,0.1162,1.5899,0.2006,0.2257,0.4417,0.5432,0.8812,0.5853
0.1243,1.4345,0.3690,3.1677,2.0618,1.9089,1.0024,2.8097,0.3738,0.3154,0.1854,0.7536,0.5627,0.6345,0.1016,0.3076
0.4204,1.4291,0.5366,0.3570,3.0699,3.7100,0.2805,2.4185,0.9709,3.1536,0.1521,0.0564,0.9751,2.5551,0.8593,1.2460
0.1118,1.2991,1.3475,0.5460,1.4182,2.8163,0.6043,1.1519,0.3743,1.6415,1.3386,0.2029,0.5727,1.3134,0.7874,0.5233
0.4852,3.7838,0.4327,1.4100,3.6769,0.2933,3.9387,1.0224,2.0214,0.4282,0.2306,0.5429,0.1306,0.6395,0.0007,0.1193
0.0777,0.0216,2.1349,0.4530,3.7229,0.6277,0.7545,2.3782,0.9374,1.1991,0.0999,0.8416,0.6760,0.5604,0.3773,1.0376
0.2794,1.9370,0.9391,1.6221,4.4265,0.2124,1.9973,0.0293,2.0925,0.2105,0.3557,0.0726,0.3987,1.3993,0.0001,0.3984
0.3300,0.0173,0.1679,0.7956,1.5343,0.6550,1.2667,1.8339,0.9364,3.7692,1.4354,0.8869,0.5375,1.3704,0.7121,0.9507
0.1554,4.7199,1.5994,0.1330,2.2717,0.7858,0.9776,1.1341,1.0704,2.6018,0.4607,3.6495,0.2129,0.4032,0.1035,0.5635
0.9541,0.1303,0.7162,0.2943,4.2474,0.4277,0.2434,0.8011,0.7273,1.8325,3.9836,1.7099,1.3095,3.4597,0.2963,0.3593
0.7168,0.2946,3.5071,0.1758,6.6273,2.2215,0.4987,1.3254,2.8205,0.7308,4.2920,0.6928,0.2251,1.2804,0.0559,0.4381
0.6323,2.5294,0.4595,1.6153,4.9221,0.4359,0.1118,1.4132,1.3325,1.2306,1.3347,0.5120,0.9600,0.8794,0.0734,0.4826
0.2936,0.6460,1.9545,0.5492,3.9710,0.5722,2.2624,1.2585,1.8398,2.3225,0.3871,4.7467,0.7442,0.7626,0.2682,0.7981
0.0122,0.9871,2.0855,0.2972,1.9575,2.2326,0.0148,5.3847,0.2437,0.9230,1.3571,1.1482,0.2053,0.5985,0.0929,1.5950
0.2947,0.7283,0.2427,1.1389,1.5153,0.2094,0.4624,1.1245,1.4996,1.1424,3.4009,0.5290,0.4903,1.1452,0.0666,0.2720
0.0268,0.0631,0.9328,0.7576,6.1311,2.1492,0.2784,0.8229,0.0869,2.0640,2.0414,0.2406,0.2702,0.7645,0.1395,0.6869
0.3883,0.2621,1.1015,1.5282,3.6408,1.2887,1.1686,3.8228,0.6925,0.8483,0.2471,2.1702,1.1310,0.7878,1.0140,1.3849
0.3995,0.1820,0.1262,5.8340,1.3215,1.1990,2.0326,0.3525,2.4264,0.3932,3.5186,0.0867,0.2197,1.5373,0.0119,0.0387
0.0293,1.4559,1.5282,0.4173,1.9555,2.0626,0.2094,1.4951,1.0060,0.8839,0.9137,0.6921,0.2114,0.1269,0.6163,0.5201
0.1511,0.0041,2.8136,0.0349,2.0703,2.2099,1.2793,0.8667,2.6411,1.7759,0.4375,0.1635,0.2044,0.9844,0.1185,0.4510
0.6050,1.6045,0.6385,1.2506,4.2490,1.4552,0.7035,0.0381,2.1418,1.7000,2.1917,0.3333,0.3523,2.0202,0.0069,2.0678
0.4659,1.2331,0.1968,1.0719,5.4751,0.7628,1.3241,1.0534,1.5873,3.1306,1.4046,0.2455,0.5422,1.1456,0.0703,0.6636
0.9162,0.1067,0.1639,2.4755,1.4924,0.1239,0.2348,0.4903,3.3151,2.0047,0.1397,0.3491,0.4291,0.2690,0.1586,0.3030
0.0790,0.0745,0.9986,0.3629,1.0065,0.5744,0.4222,2.8452,0.2752,2.1749,2.1503,1.0468,0.2908,0.3731,0.7876,1.4203
0.2176,1.0107,1.9780,1.3300,3.2469,1.6325,1.8295,0.7839,0.4023,1.7334,0.9617,0.5621,0.7175,1.4685,0.2696,0.4836
0.2898,0.4966,1.5271,1.7075,1.4059,2.8672,2.2333,1.3395,2.7888,1.8269,0.3048,0.0929,0.2450,0.4428,0.7410,0.7482
1.4921,0.0339,1.4875,0.3002,2.9258,0.6870,0.4356,2.4562,4.8973,0.8548,0.6973,0.7389,0.3349,0.4185,0.0754,0.6580
0.4290,2.2731,0.2727,0.1884,2.4302,1.7439,1.2086,0.8034,1.1423,2.7375,0.0164,0.7359,0.4922,1.0917,0.3399,0.6240
2.4681,0.4677,0.2017,0.6542,4.0785,1.0190,2.4002,2.7202,1.6250,0.7350,1.9923,0.6421,0.9345,1.4260,0.1006,0.5763
