11,20,0,1,0,-1,1,-1,1,1
64,4,0,1,0,1,1,-1,1,1
16,50,0,-1,0,-1,1,1,-1,1
68,20,0,1,-1,0,1,-1,1,1
8,34,0,-1,1,0,1,1,-1,1
142,4,0,1,1,0,1,-1,1,1
33,18,1,0,0,-1,1,1,-1,1
16,36,-1,0,0,1,1,-1,1,1
4,44,-1,0,0,1,-1,-1,1,1
10,18,1,0,-1,0,1,1,-1,1
69,2,1,0,1,0,1,1,-1,1
2,3,1,0,1,0,1,1,-1,-1
18,36,-1,0,1,0,1,-1,1,1
4,44,-1,0,1,0,-1,-1,1,1
13,52,-1,0,-1,0,1,-1,1,1
2,60,-1,0,-1,0,-1,-1,1,1
2,12,0,1,1,-1,0,-1,1,1
3,20,0,1,-1,1,0,-1,1,1
4,28,0,1,-1,-1,0,-1,1,1
5,4,0,1,1,1,0,-1,1,1
15,36,-1,0,1,1,0,-1,1,1
13,44,-1,0,1,-1,0,-1,1,1
12,52,-1,0,-1,1,0,-1,1,1
2,60,-1,0,-1,-1,0,-1,1,1
3,52,-1,-1,0,1,0,-1,1,1
2,36,-1,1,1,0,0,-1,1,1
2,52,-1,-1,1,0,0,-1,1,1
2,60,-1,-1,-1,0,0,-1,1,1
3,41,0,-1,1,-1,1,1,-1,0
7,1,1,0,1,1,1,1,-1,0
5,9,1,0,1,-1,1,1,-1,0
3,1,1,1,1,0,1,1,-1,0
6,17,1,-1,1,0,1,1,-1,0
