15,114,1,-1,-1,-1,1,1,-1,1
34,132,-1,1,1,1,1,-1,1,1
39,148,-1,1,1,-1,1,-1,1,1
21,164,-1,1,-1,1,1,-1,1,1
17,18,1,1,1,-1,1,1,-1,1
8,180,-1,1,-1,-1,1,-1,1,1
2,194,-1,-1,1,1,1,1,-1,1
4,196,-1,-1,1,1,1,-1,1,1
17,2,1,1,1,1,1,1,-1,1
25,20,1,1,1,-1,1,-1,1,1
5,210,-1,-1,1,-1,1,1,-1,1
7,212,-1,-1,1,-1,1,-1,1,1
6,228,-1,-1,-1,1,1,-1,1,1
2,242,-1,-1,-1,-1,1,1,-1,1
2,244,-1,-1,-1,-1,1,-1,1,1
23,36,1,1,-1,1,1,-1,1,1
28,4,1,1,1,1,1,-1,1,1
4,50,1,1,-1,-1,1,1,-1,1
5,52,1,1,-1,-1,1,-1,1,1
59,66,1,-1,1,1,1,1,-1,1
52,82,1,-1,1,-1,1,1,-1,1
6,83,1,-1,1,-1,1,1,-1,-1
