0,0.15717822,0.15717822,0.15717822
100,0.09444943,0.09444943,0.09444943
200,0.08715833,0.08715833,0.08715833
300,0.06242153,0.06242153,0.06242153
400,0.0566564,0.0566564,0.0566564
500,0.04784681,0.04784681,0.04784681
600,0.04477457,0.04477457,0.04477457
700,0.039733496,0.039733496,0.039733496
800,0.033322245,0.033322245,0.033322245
900,0.02581224,0.02581224,0.02581224
1000,0.020670995,0.020670995,0.020670995
1100,0.014455638,0.014455638,0.014455638
1200,0.010651182,0.010651182,0.010651182
1300,0.008534896,0.008534896,0.008534896
1400,0.005285479,0.005285479,0.005285479
1500,0.0036945425,0.0036945425,0.0036945425
1600,0.0036217535,0.0036217535,0.0036217535
1700,0.0026988592,0.0026988592,0.0026988592
1800,0.0028302064,0.0028302064,0.0028302064
1900,0.003063253,0.003063253,0.003063253
2000,0.0021961073,0.0021961073,0.0021961073
2100,0.0023478041,0.0023478041,0.0023478041
2200,0.002209795,0.002209795,0.002209795
2300,0.0018694868,0.0018694868,0.0018694868
2400,0.0018807388,0.0018807388,0.0018807388
2500,0.0020514508,0.0020514508,0.0020514508
2600,0.0018361481,0.0018361481,0.0018361481
2700,0.00200168,0.00200168,0.00200168
2800,0.0016741194,0.0016741194,0.0016741194
2900,0.0016386198,0.0016386198,0.0016386198
3000,0.0016181881,0.0016181881,0.0016181881
3100,0.0014498008,0.0014498008,0.0014498008
3200,0.00152145,0.00152145,0.00152145
3300,0.0013491126,0.0013491126,0.0013491126
3400,0.001394344,0.001394344,0.001394344
3500,0.001506578,0.001506578,0.001506578
3600,0.0012976738,0.0012976738,0.0012976738
3700,0.0011120692,0.0011120692,0.0011120692
3800,0.0012120176,0.0012120176,0.0012120176
3900,0.0012459483,0.0012459483,0.0012459483
4000,0.0013580895,0.0013580895,0.0013580895
