-0.2904,-0.04474,5.704,2.904,-2.807,0.3136,1.922,4.763,-0.3889,-0.8471
-0.09442,0.005063,0.3644,1.267,0.6913,-0.01936,-0.2868,-0.4202,-0.347,-0.03134
1.986,0.04791,0.9734,2.034,-3.88,-0.2695,3.718,2.969,1.052,-1.942
5.503,1.133,0.06182,-12.79,-0.8358,-1.546,-2.459,3.395,8.258,-2.852
-1.475,2.585,2.848,4.025,-1.323,-0.4248,4.637,-2.69,-4.452,0.5922
0.08794,-0.04082,-1.753,0.1309,-1.854,0.4012,-0.1147,3.156,-0.7352,-0.3166
0.8761,-1.247,-5.232,-7.183,10.87,-7.674,-21.85,-8.689,5.948,-1.253
-0.4128,-1.286,-4.596,-1.142,2.033,-1.044,1.153,-1.228,-2.262,-0.6129
-0.1256,0.3511,5.237,4.222,-1.989,0.2722,1.974,-2.231,-0.6788,0.8205
-0.2882,-0.7092,-1.047,0.6177,1.373,-0.3565,-1.415,0.8594,-0.4843,-0.6427
4.059,-0.5626,-0.04938,-0.5954,-0.9341,0.311,1.237,-5.246,-11.79,0.7981
0.8488,3.544,-1.497,-1.712,-0.1642,-0.24,1.914,-1.227,1.909,1.158
-0.444,0.6315,6.197,-2.102,-1.282,-1.258,-0.9437,4.392,1.115,-0.6426
-1.059,0.5321,4.428,4.968,-1.363,-4.615,3.49,7.146,-0.7856,-6.512
-4.971,-0.1274,-2.973,4.068,1.687,-0.8801,1.841,-11.71,-7.962,0.2405
-0.1804,-0.1251,-0.5938,0.04451,0.1855,-0.7697,0.2084,-0.1806,0.2466,-0.1687
2.307,1.896,-2.853,-1.553,-2.417,-0.3806,6.407,-3.829,-0.1368,1.01
0.06322,-0.1811,-3.346,0.8905,0.4404,-1.036,0.02597,0.3758,0.4549,-0.0998
1.826,-0.541,-4.146,-1.475,-0.6615,-0.6147,1.965,-4.185,3.146,0.5432
0.002085,0.4802,1.328,0.4894,0.3293,-0.1533,-1.192,-0.3466,-0.3289,0.4463
